=== JULY 2026 AUDIT REPORT ===
Model: Supertrend & 20 EM | SL: 15.0 | RR: 1:1.5 | Trades: 23 | W: 7 | L: 16 | Scratch: 0 | Net PnL: Rs. -6,109 | WR: 30.4%
Model: 20 EMA / Pivot Pul | SL: 15.0 | RR: 1:1.5 | Trades: 18 | W: 3 | L: 14 | Scratch: 1 | Net PnL: Rs. -7,940 | WR: 16.7%
Model: Standard Pivot Poi | SL: 15.0 | RR: 1:1.5 | Trades: 23 | W: 9 | L: 14 | Scratch: 0 | Net PnL: Rs. -2,366 | WR: 39.1%
Model: RSI + MACD Momentu | SL: 15.0 | RR: 1:1.5 | Trades: 21 | W: 9 | L: 12 | Scratch: 0 | Net PnL: Rs. -459 | WR: 42.9%
Model: Supertrend & 20 EM | SL: 15.0 | RR: 1:1.8 | Trades: 23 | W: 6 | L: 16 | Scratch: 1 | Net PnL: Rs. -5,885 | WR: 26.1%
Model: 20 EMA / Pivot Pul | SL: 15.0 | RR: 1:1.8 | Trades: 18 | W: 2 | L: 14 | Scratch: 2 | Net PnL: Rs. -8,614 | WR: 11.1%
Model: Standard Pivot Poi | SL: 15.0 | RR: 1:1.8 | Trades: 23 | W: 7 | L: 14 | Scratch: 2 | Net PnL: Rs. -3,040 | WR: 30.4%
Model: RSI + MACD Momentu | SL: 15.0 | RR: 1:1.8 | Trades: 21 | W: 8 | L: 12 | Scratch: 1 | Net PnL: Rs. +215 | WR: 38.1%
Model: Supertrend & 20 EM | SL: 15.0 | RR: 1:2.0 | Trades: 23 | W: 5 | L: 16 | Scratch: 2 | Net PnL: Rs. -6,484 | WR: 21.7%
Model: 20 EMA / Pivot Pul | SL: 15.0 | RR: 1:2.0 | Trades: 18 | W: 2 | L: 14 | Scratch: 2 | Net PnL: Rs. -8,314 | WR: 11.1%
Model: Standard Pivot Poi | SL: 15.0 | RR: 1:2.0 | Trades: 23 | W: 6 | L: 14 | Scratch: 3 | Net PnL: Rs. -3,489 | WR: 26.1%
Model: RSI + MACD Momentu | SL: 15.0 | RR: 1:2.0 | Trades: 21 | W: 8 | L: 12 | Scratch: 1 | Net PnL: Rs. +1,412 | WR: 38.1%
Model: Supertrend & 20 EM | SL: 15.0 | RR: 1:2.2 | Trades: 23 | W: 5 | L: 16 | Scratch: 2 | Net PnL: Rs. -4,762 | WR: 21.7%
Model: 20 EMA / Pivot Pul | SL: 15.0 | RR: 1:2.2 | Trades: 18 | W: 2 | L: 14 | Scratch: 2 | Net PnL: Rs. -8,015 | WR: 11.1%
Model: Standard Pivot Poi | SL: 15.0 | RR: 1:2.2 | Trades: 23 | W: 6 | L: 14 | Scratch: 3 | Net PnL: Rs. -1,618 | WR: 26.1%
Model: RSI + MACD Momentu | SL: 15.0 | RR: 1:2.2 | Trades: 21 | W: 8 | L: 12 | Scratch: 1 | Net PnL: Rs. +3,583 | WR: 38.1%
Model: Supertrend & 20 EM | SL: 15.0 | RR: 1:2.5 | Trades: 23 | W: 4 | L: 16 | Scratch: 3 | Net PnL: Rs. -5,735 | WR: 17.4%
Model: 20 EMA / Pivot Pul | SL: 15.0 | RR: 1:2.5 | Trades: 18 | W: 2 | L: 14 | Scratch: 2 | Net PnL: Rs. -7,876 | WR: 11.1%
Model: Standard Pivot Poi | SL: 15.0 | RR: 1:2.5 | Trades: 23 | W: 5 | L: 14 | Scratch: 4 | Net PnL: Rs. -2,366 | WR: 21.7%
Model: RSI + MACD Momentu | SL: 15.0 | RR: 1:2.5 | Trades: 21 | W: 8 | L: 12 | Scratch: 1 | Net PnL: Rs. +5,156 | WR: 38.1%
Model: Supertrend & 20 EM | SL: 18.0 | RR: 1:1.5 | Trades: 23 | W: 6 | L: 16 | Scratch: 1 | Net PnL: Rs. -8,280 | WR: 26.1%
Model: 20 EMA / Pivot Pul | SL: 18.0 | RR: 1:1.5 | Trades: 18 | W: 2 | L: 14 | Scratch: 2 | Net PnL: Rs. -10,560 | WR: 11.1%
Model: Standard Pivot Poi | SL: 18.0 | RR: 1:1.5 | Trades: 23 | W: 7 | L: 14 | Scratch: 2 | Net PnL: Rs. -5,136 | WR: 30.4%
Model: RSI + MACD Momentu | SL: 18.0 | RR: 1:1.5 | Trades: 21 | W: 8 | L: 12 | Scratch: 1 | Net PnL: Rs. -1,432 | WR: 38.1%
Model: Supertrend & 20 EM | SL: 18.0 | RR: 1:1.8 | Trades: 23 | W: 5 | L: 16 | Scratch: 2 | Net PnL: Rs. -8,280 | WR: 21.7%
Model: 20 EMA / Pivot Pul | SL: 18.0 | RR: 1:1.8 | Trades: 18 | W: 2 | L: 14 | Scratch: 2 | Net PnL: Rs. -10,021 | WR: 11.1%
Model: Standard Pivot Poi | SL: 18.0 | RR: 1:1.8 | Trades: 23 | W: 6 | L: 14 | Scratch: 3 | Net PnL: Rs. -4,866 | WR: 26.1%
Model: RSI + MACD Momentu | SL: 18.0 | RR: 1:1.8 | Trades: 21 | W: 8 | L: 12 | Scratch: 1 | Net PnL: Rs. +724 | WR: 38.1%
Model: Supertrend & 20 EM | SL: 18.0 | RR: 1:2.0 | Trades: 23 | W: 5 | L: 16 | Scratch: 2 | Net PnL: Rs. -7,382 | WR: 21.7%
Model: 20 EMA / Pivot Pul | SL: 18.0 | RR: 1:2.0 | Trades: 18 | W: 2 | L: 14 | Scratch: 2 | Net PnL: Rs. -9,897 | WR: 11.1%
